1979.88382	0
1979.98957	0
1980.09533	0
1980.2011	0
1980.30688	145.15515
1980.41266	66.45603
1980.51845	29.99877
1980.62425	0.00189
1980.73006	0
1980.83588	0
1980.94171	34.91976
1981.04754	70.71544
1981.15339	123.37736
1981.25924	127.50162
1981.3651	172.35568
1981.47097	181.37906
1981.57685	151.413
1981.68273	86.90899
1981.78863	86.11973
1981.89453	60.36263
1982.00044	68.56598
1982.10636	204.66919
1982.21229	255.4024
1982.31823	245.73618
1982.42417	204.2046
1982.53013	158.86001
1982.63609	160.47161
1982.74206	314.11078
1982.84804	423.96844
1982.95403	407.33187
1983.06002	314.87086
1983.16603	203.08094
1983.27204	52.48446
1983.37806	11.16198
1983.48409	42.50859
1983.59013	143.38548
1983.69618	218.51155
1983.80223	220.12974
1983.9083	251.38976
1984.01437	408.8377
1984.12045	448.47051
1984.22654	322.95221
1984.33264	132.02549
1984.43875	32.68865
1984.54486	82.10946
1984.65099	205.48051
1984.75712	309.65362
1984.86326	334.38458
1984.96941	327.44916
1985.07557	225.44265
1985.18174	253.73449
1985.28791	308.60544
1985.39409	335.76682
1985.50029	266.0202
1985.60649	280.21809
1985.7127	245.43061
1985.81891	217.80482
1985.92514	175.1919
1986.03137	163.94463
1986.13762	109.43045
1986.24387	40.47191
1986.35013	113.19086
1986.4564	216.92533
1986.56268	184.69963
1986.66896	141.39015
1986.77526	102.70908
1986.88156	44.88745
1986.98787	119.07668
1987.09419	245.58896
1987.20052	245.48629
1987.30686	194.35017
1987.4132	122.94462
1987.51956	195.62805
1987.62592	318.27763
1987.73229	315.04166
1987.83867	322.39178
1987.94506	278.09715
1988.05145	134.71579
1988.15786	204.12695
1988.26427	238.79464
1988.3707	202.4467
1988.47713	190.882
1988.58357	171.61039
1988.69001	301.98658
1988.79647	401.33462
1988.90294	576.32157
1989.00941	796.52827
1989.11589	928.45062
1989.22238	813.89528
1989.32888	720.63177
1989.43539	802.10032
1989.54191	929.61835
1989.64843	748.45175
1989.75497	440.16577
1989.86151	378.2185
1989.96806	481.04888
1990.07462	512.41473
1990.18119	643.08154
1990.28776	650.49437
1990.39435	657.15829
1990.50094	532.41843
1990.60754	619.52781
1990.71415	799.98704
1990.82077	1032.11498
1990.9274	1265.35408
1991.03404	1276.72052
1991.14068	1214.27414
1991.24733	1000.90021
