1484.99998	0
1485.03433	0
1485.06868	0
1485.10303	0
1491.3398	0
1491.37436	0
1491.40893	0
1491.4435	0
1491.47807	0.30803
1491.51264	3.63099
1491.54721	5.6261
1491.58179	4.24226
1491.61636	0.62894
1491.65094	2.4E-5
1491.68552	0
1491.72009	1.34314
1491.75467	3.19591
1491.78925	3.1998
1491.82384	1.96819
1491.85842	0.51324
1491.893	1.9E-5
1491.92759	0
1491.96218	0
1491.99676	1.10135
1492.03135	2.87068
1492.06594	3.43647
1492.10053	2.22331
1492.13513	8.4E-5
1492.16972	0
1492.20432	0
1492.23891	0
1492.27351	0
1492.65416	0
1492.68878	0
1492.72339	0
1492.758	0
1492.79262	0.70849
1492.82724	2.9553
1492.86185	4.24272
1492.89647	2.96367
1492.93109	0.505
1492.96572	4.4E-5
1493.00034	1.25193
1493.03496	5.3437
1493.06959	7.95367
1493.10421	6.94909
1493.13884	3.7611
1493.17347	1.27473
1493.2081	1.23932
1493.24273	0.93152
1493.27737	8.2E-5
1493.312	0
1493.34663	0
1493.38127	0
1493.41591	0.09333
1493.45055	0.69705
1493.48519	0.0838
1493.51983	3E-6
1493.55447	0
1493.58911	0
1493.62376	0
1493.6584	0
1493.69305	0
1493.7277	0
1493.76235	0
1493.797	0
1493.83165	0.50439
1493.8663	1.13174
1493.90096	0.08428
1493.93561	3E-6
1493.97027	0.40858
1494.00493	2.87198
1494.03959	3.68673
1494.07425	1.71453
1494.10891	1.51E-4
1494.14357	0
1494.17823	3.09364
1494.2129	8.1289
1494.24757	8.4341
1494.28223	4.12251
1494.3169	0.62973
1494.35157	0.34119
1494.38624	2.39422
1494.42092	4.91159
1494.45559	5.75369
1494.49026	4.17372
1494.52494	1.24136
1494.55962	1.09E-4
1494.5943	0
1494.62897	1.28981
1494.66366	4.30644
1494.69834	6.25414
1494.73302	6.05633
1494.76771	3.9624
1494.80239	1.27123
1494.83708	1.12E-4
1494.87177	0
1494.90645	0
1494.94115	2.92069
1494.97584	5.61837
1495.01053	5.94874
1495.04522	3.58712
1495.07992	0.62346
1495.11462	2.3E-5
1495.14931	1.34843
1495.18401	2.97851
1495.21871	3.82857
1495.25341	3.86308
1495.28812	2.24682
1495.32282	0.9638
1495.35752	8.5E-5
1495.39223	0
1495.42694	0
1495.46165	0
1495.49636	0
1495.53107	1.5276
1495.56578	3.98413
1495.60049	4.56357
1495.63521	2.92756
1495.66992	0.17611
1495.70464	1.5E-5
1495.73936	0
1495.77408	0.17301
1495.8088	9E-6
1495.84352	0
1495.87824	0
1495.91297	2.283
1495.94769	2.55387
1495.98242	3.17828
1496.01715	2.23797
1496.05188	0.98901
1496.08661	4.63998
1496.12134	11.21687
1496.15607	14.55232
1496.19081	12.82707
1496.22554	9.48588
1496.26028	6.41569
1496.29501	4.87491
1496.32975	3.70971
1496.36449	2.14173
1496.39923	0.05841
1496.43398	0.15373
1496.46872	1.80224
1496.50347	3.67396
1496.53821	3.78289
1496.57296	2.19736
1496.60771	0.58984
1496.64246	2.9E-5
1496.67721	0
1496.71196	0
1496.74671	1.17003
